epoch,elapsed_s,cpu_used_pct,load1,load5,load15,mem_used_mb,mem_avail_mb,swap_used_mb,nproc_zephyr,rss_zephyr_mb,open_fds,gw_cpu_millicores,gw_mem_mi
1781954037.33,2077.0,94.47,87.59,83.27,76.45,9925.1,117874.1,0.3,1000,35539.7,17440,6,175
1781954040.33,2080.0,92.68,87.59,83.27,76.45,9869.6,117929.6,0.3,1000,35539.7,17440,6,175
1781954043.33,2083.0,92.13,87.07,83.23,76.47,9803.1,117996.2,0.3,1000,35539.7,17440,6,175
1781954046.331,2086.0,93.28,87.07,83.23,76.47,9862.7,117936.5,0.3,1000,35539.7,17504,6,175
1781954049.331,2089.0,94.18,83.62,82.58,76.3,9817.2,117982.1,0.3,1000,35539.7,17568,6,175
1781954052.331,2092.0,93.64,88.45,83.6,76.66,9874.4,117924.8,0.3,1000,35539.7,17568,6,175
1781954055.332,2095.0,93.9,88.45,83.6,76.66,9864.5,117934.7,0.3,1000,35539.7,17504,6,175
1781954058.332,2098.0,94.75,90.34,84.07,76.85,9858.8,117936.5,0.3,1000,35539.7,17504,6,175
1781954061.332,2101.0,93.32,90.34,84.07,76.85,9805.7,117993.5,0.3,1000,35539.7,17504,8,175
1781954064.332,2104.0,93.59,86.47,83.37,76.66,9913.3,117885.9,0.3,1000,35539.7,17632,8,175
1781954067.332,2107.0,92.51,83.39,82.78,76.51,9803.2,117996.0,0.3,1000,35539.7,17376,8,175
1781954070.332,2110.0,94.18,83.39,82.78,76.51,9870.8,117928.4,0.3,1000,35539.7,17376,8,175
1781954073.332,2113.0,93.56,96.17,85.44,77.4,9879.0,117920.3,0.3,1000,35539.7,17376,8,175
1781954076.333,2116.0,93.59,96.17,85.44,77.4,9856.5,117942.8,0.3,1000,35539.7,17312,8,175
1781954079.333,2119.0,93.45,146.84,96.13,80.9,9835.7,117963.6,0.3,1000,35539.7,17440,8,175
1781954082.333,2122.0,92.4,141.49,95.86,80.9,9883.4,117915.8,0.3,1000,35539.7,17376,8,175
1781954085.335,2125.0,92.39,141.49,95.86,80.9,9897.1,117902.2,0.3,1000,35539.7,17440,12,175
1781954088.335,2128.0,94.2,135.13,95.3,80.8,9883.8,117915.4,0.3,1000,35539.7,17504,12,175
1781954091.336,2131.0,94.93,135.13,95.3,80.8,9866.9,117932.4,0.3,1000,35539.7,17440,12,175
1781954094.337,2134.0,95.97,127.59,94.39,80.58,9824.9,117974.5,0.3,1000,35539.7,17504,12,175
1781954097.34,2137.0,94.33,120.09,93.39,80.33,9823.9,117975.4,0.3,1000,35539.7,17440,6,175
1781954100.34,2140.0,95.18,120.09,93.39,80.33,9881.2,117918.1,0.3,1000,35539.7,17504,6,175
1781954103.34,2143.0,92.32,114.88,92.75,80.2,9808.7,117990.6,0.3,1000,35539.7,17504,6,175
1781954106.341,2146.0,95.45,114.88,92.75,80.2,9843.5,117955.9,0.3,1000,35539.7,17504,6,175
1781954109.341,2149.0,93.4,119.45,94.07,80.69,9827.8,117971.6,0.3,1000,35539.7,17504,6,175
1781954112.341,2152.0,93.67,116.62,93.9,80.71,9882.9,117916.5,0.3,1000,35539.7,17504,6,175
1781954115.341,2155.0,93.83,116.62,93.9,80.71,9953.4,117846.0,0.3,1000,35539.7,17376,6,175
1781954118.341,2158.0,94.48,110.48,93.01,80.49,9860.4,117939.1,0.3,1000,35539.7,17184,6,175
1781954121.341,2161.0,93.64,110.48,93.01,80.49,9769.8,118029.6,0.3,1000,35539.7,17184,12,175
1781954124.341,2164.0,94.92,105.32,92.23,80.3,9841.9,117957.6,0.3,1000,35539.7,17312,12,175
1781954127.341,2167.0,93.73,100.97,91.54,80.15,9823.0,117976.4,0.3,1000,35539.7,17312,12,175
1781954130.341,2170.0,93.3,100.97,91.54,80.15,9821.4,117978.0,0.3,1000,35539.7,17376,12,175
1781954133.341,2173.0,92.99,95.92,90.65,79.92,9866.2,117933.2,0.3,1000,35539.7,17376,5,175
1781954136.342,2176.0,94.76,95.92,90.65,79.92,9856.1,117943.4,0.3,1000,35539.7,17504,5,175
1781954139.342,2179.0,94.7,91.21,89.76,79.69,9940.6,117858.8,0.3,1000,35539.7,17440,5,175
1781954142.342,2182.0,93.65,90.47,89.63,79.7,9837.4,117962.0,0.3,1000,35539.7,17504,5,175
1781954145.342,2185.0,95.2,90.47,89.63,79.7,9752.6,118046.9,0.3,1000,35539.7,17504,13,177
1781954148.342,2188.0,91.44,87.15,88.96,79.54,9805.2,117994.2,0.3,1000,35539.7,17504,13,177
1781954151.342,2191.0,94.09,87.15,88.96,79.54,9875.3,117924.1,0.3,1000,35539.7,17504,13,177
1781954154.342,2194.0,93.22,85.13,88.51,79.44,9873.0,117926.5,0.3,1000,35539.7,17504,13,177
1781954157.344,2197.0,95.0,83.36,88.09,79.35,9799.8,117999.7,0.3,1000,35539.7,17440,6,177
1781954160.344,2200.0,93.91,83.36,88.09,79.35,9814.6,117984.9,0.3,1000,35539.7,17440,6,177
1781954163.344,2203.0,96.34,83.89,88.12,79.41,9784.7,118014.7,0.3,1000,35539.7,17504,6,177
1781954166.344,2206.0,94.45,83.89,88.12,79.41,9797.4,118002.1,0.3,1000,35539.7,17376,6,177
1781954169.344,2209.0,93.1,81.18,87.48,79.25,9825.9,117973.6,0.3,1000,35539.7,17376,6,177
1781954172.344,2212.0,91.96,79.4,87.01,79.14,9891.8,117907.8,0.3,1000,35539.7,17440,6,177
1781954175.344,2215.0,93.77,79.4,87.01,79.14,9808.5,117991.1,0.3,1000,35539.7,17440,6,177
1781954178.344,2218.0,92.42,76.97,86.38,78.98,9819.8,117979.8,0.3,1000,35539.7,17440,6,177
1781954181.344,2221.0,94.42,76.97,86.38,78.98,9937.1,117862.5,0.3,1000,35539.7,17440,13,177
1781954184.344,2224.0,94.75,78.57,86.56,79.08,9882.4,117917.2,0.3,1000,35539.7,17568,13,177
1781954187.345,2227.0,92.28,78.85,86.48,79.1,9815.6,117984.0,0.3,1000,35539.7,17504,13,177
1781954190.345,2230.0,94.06,78.85,86.48,79.1,9877.2,117922.4,0.3,1000,35539.7,17568,13,177
1781954193.345,2233.0,93.53,77.9,86.16,79.03,9815.8,117983.8,0.3,1000,35539.7,17568,6,177
1781954196.345,2236.0,92.38,77.9,86.16,79.03,9852.6,117947.1,0.3,1000,35539.7,17568,6,177
1781954199.346,2239.0,92.71,80.55,86.57,79.2,9907.7,117892.0,0.3,1000,35539.7,17568,6,177
1781954202.346,2242.0,94.25,86.51,87.71,79.61,9841.9,117957.7,0.3,1000,35539.7,17504,6,177
1781954205.365,2245.0,93.26,86.51,87.71,79.61,9896.6,117903.1,0.3,1000,35539.7,17504,11,177
1781954208.365,2248.0,94.33,89.99,88.41,79.88,9853.6,117946.0,0.3,1000,35539.7,17376,11,177
